"subjects"	"activities"	"avg_tBody_Acc_X"	"avg_tBody_Acc_Y"	"avg_tBody_Acc_Z"
"58"	10	"WALKING"	0.278574076603774	0.278574076603774	-0.109057512132076
"59"	10	"WALKING_DOWNSTAIRS"	0.290401594315789	0.290401594315789	-0.110848597247368
"60"	10	"WALKING_UPSTAIRS"	0.267121853404255	0.267121853404255	-0.118180420834043
"61"	11	"LAYING"	0.280592970877193	0.280592970877193	-0.108786578070175
"62"	11	"SITTING"	0.276590197358491	0.276590197358491	-0.112840218339623
"63"	11	"STANDING"	0.277715562765957	0.277715562765957	-0.108686630425532
"64"	11	"WALKING"	0.271821892881356	0.271821892881356	-0.106096304033898
"65"	11	"WALKING_DOWNSTAIRS"	0.291605631956522	0.291605631956522	-0.111070149978261
"66"	11	"WALKING_UPSTAIRS"	0.263775859277778	0.263775859277778	-0.106797216481481
"67"	12	"LAYING"	0.260113433	0.260113433	-0.108160125666667
"68"	12	"SITTING"	0.275007224901961	0.275007224901961	-0.106307228960784
"69"	12	"STANDING"	0.277405834918033	0.277405834918033	-0.105526999754098
"70"	12	"WALKING"	0.2771286656	0.2771286656	-0.10316110632
"71"	12	"WALKING_DOWNSTAIRS"	0.281521097391304	0.281521097391304	-0.10955593226087
"72"	12	"WALKING_UPSTAIRS"	0.272970338653846	0.272970338653846	-0.107339730115385
"73"	13	"LAYING"	0.276716360483871	0.276716360483871	-0.104331864532258
"74"	13	"SITTING"	0.274328499591837	0.274328499591837	-0.0972465110836735
"75"	13	"STANDING"	0.277758431052632	0.277758431052632	-0.112124137754386
"76"	13	"WALKING"	0.275883130350877	0.275883130350877	-0.111431456192982
"77"	13	"WALKING_DOWNSTAIRS"	0.294907553404255	0.294907553404255	-0.101993941531915
"78"	13	"WALKING_UPSTAIRS"	0.258203939581818	0.258203939581818	-0.125767265890909
"79"	14	"LAYING"	0.233275439803922	0.233275439803922	-0.0868333315509804
"80"	14	"SITTING"	0.279990577037037	0.279990577037037	-0.100401490425926
"81"	14	"STANDING"	0.280545613833333	0.280545613833333	-0.103817701790667
"82"	14	"WALKING"	0.271959598644068	0.271959598644068	-0.106756369135593
"83"	14	"WALKING_DOWNSTAIRS"	0.293422115555555	0.293422115555555	-0.0928330165533333
"84"	14	"WALKING_UPSTAIRS"	0.26242106612963	0.26242106612963	-0.112279688983333
"85"	15	"LAYING"	0.2894756525	0.2894756525	-0.118530240291667
"86"	15	"SITTING"	0.27290337979661	0.27290337979661	-0.11366125320339
"87"	15	"STANDING"	0.278915803962264	0.278915803962264	-0.105910832679245
"88"	15	"WALKING"	0.273899207962963	0.273899207962963	-0.107621819518518
"89"	15	"WALKING_DOWNSTAIRS"	0.280198851190476	0.280198851190476	-0.110526066428571
"90"	15	"WALKING_UPSTAIRS"	0.270187595833333	0.270187595833333	-0.116952464895833
"91"	16	"LAYING"	0.274227162571429	0.274227162571429	-0.107310493242857
"92"	16	"SITTING"	0.280768574492754	0.280768574492754	-0.0891404038405797
"93"	16	"STANDING"	0.283497402948718	0.283497402948718	-0.103657729076923
"94"	16	"WALKING"	0.276023564509804	0.276023564509804	-0.108804049803922
"95"	16	"WALKING_DOWNSTAIRS"	0.295586802191489	0.295586802191489	-0.119873705148936
"96"	16	"WALKING_UPSTAIRS"	0.255986102627451	0.255986102627451	-0.124074517745098
"97"	17	"LAYING"	0.269780085577465	0.269780085577465	-0.107006279704225
"98"	17	"SITTING"	0.2773570196875	0.2773570196875	-0.11362408509375
"99"	17	"STANDING"	0.277942503333333	0.277942503333333	-0.111432145565
"100"	17	"WALKING"	0.272341855245902	0.272341855245902	-0.109792122032787
"101"	17	"WALKING_DOWNSTAIRS"	0.293918283260869	0.293918283260869	-0.0892432745173913
"102"	17	"WALKING_UPSTAIRS"	0.252604768583333	0.252604768583333	-0.121290442104167
"103"	18	"LAYING"	0.274691576923077	0.274691576923077	-0.107698927907692
"104"	18	"SITTING"	0.27727001877193	0.27727001877193	-0.111904775824561
"105"	18	"STANDING"	0.278458805890411	0.278458805890411	-0.108453355945206
"106"	18	"WALKING"	0.273887758571429	0.273887758571429	-0.104218315464286
"107"	18	"WALKING_DOWNSTAIRS"	0.288439468909091	0.288439468909091	-0.1033908092
"108"	18	"WALKING_UPSTAIRS"	0.265401201896552	0.265401201896552	-0.112655891327586
"109"	19	"LAYING"	0.272653733493976	0.272653733493976	-0.10898146186747
"110"	19	"SITTING"	0.273830316164384	0.273830316164384	-0.10870765430137
"111"	19	"STANDING"	0.27817226	0.27817226	-0.10904190460274
"112"	19	"WALKING"	0.273931172307692	0.273931172307692	-0.122736673192308
"113"	19	"WALKING_DOWNSTAIRS"	0.262688053871795	0.262688053871795	-0.133695240660974
"114"	19	"WALKING_UPSTAIRS"	0.242118808925	0.242118808925	-0.151054607725
"115"	20	"LAYING"	0.239507882205882	0.239507882205882	-0.104274322538235
"116"	20	"SITTING"	0.278045439090909	0.278045439090909	-0.108369634515151
"117"	20	"STANDING"	0.278076904657534	0.278076904657534	-0.100402759931507
"118"	20	"WALKING"	0.272589336470588	0.272589336470588	-0.113539477098039
"119"	20	"WALKING_DOWNSTAIRS"	0.296144421355556	0.296144421355556	-0.104602925937778
"120"	20	"WALKING_UPSTAIRS"	0.252098317156863	0.252098317156863	-0.121023947784314
"121"	21	"LAYING"	0.271325472455556	0.271325472455556	-0.103253832233333
"122"	21	"SITTING"	0.27753961682353	0.27753961682353	-0.112057887741176
"123"	21	"STANDING"	0.27695224258427	0.27695224258427	-0.110417855808989
"124"	21	"WALKING"	0.279183526730769	0.279183526730769	-0.104319332403846
"125"	21	"WALKING_DOWNSTAIRS"	0.3014610196	0.3014610196	-0.09816866218
"126"	21	"WALKING_UPSTAIRS"	0.265194544680851	0.265194544680851	-0.125414265340426
"127"	22	"LAYING"	0.279959721194444	0.279959721194444	-0.110800924652778
"128"	22	"SITTING"	0.273583822709678	0.273583822709678	-0.105827369516129
"129"	22	"STANDING"	0.279053861587301	0.279053861587301	-0.104967423820635
"130"	22	"WALKING"	0.27886459	0.27886459	-0.107112510934783
"131"	22	"WALKING_DOWNSTAIRS"	0.284458963861111	0.284458963861111	-0.1074157796
"132"	22	"WALKING_UPSTAIRS"	0.248391534566667	0.248391534566667	-0.117550861738095
"133"	23	"LAYING"	0.274038007986111	0.274038007986111	-0.104256776291667
"134"	23	"SITTING"	0.273351251617647	0.273351251617647	-0.103808679294118
"135"	23	"STANDING"	0.277899323235294	0.277899323235294	-0.1105970177575
"136"	23	"WALKING"	0.273211884237288	0.273211884237288	-0.113382994084746
"137"	23	"WALKING_DOWNSTAIRS"	0.289897411148148	0.289897411148148	-0.0988123712574074
"138"	23	"WALKING_UPSTAIRS"	0.249995171031373	0.249995171031373	-0.126890616782353
"139"	24	"LAYING"	0.272850494930556	0.272850494930556	-0.107236237236111
"140"	24	"SITTING"	0.273475690147059	0.273475690147059	-0.103041061426471
"141"	24	"STANDING"	0.280348883913043	0.280348883913043	-0.108222553855072
"142"	24	"WALKING"	0.276980816034483	0.276980816034483	-0.110595952913793
"143"	24	"WALKING_DOWNSTAIRS"	0.288631208909091	0.288631208909091	-0.104818820272727
"144"	24	"WALKING_UPSTAIRS"	0.269881106779661	0.269881106779661	-0.114248610966102
"145"	25	"LAYING"	0.250791828613699	0.250791828613699	-0.100428830260274
"146"	25	"SITTING"	0.278541482461538	0.278541482461538	-0.109160440476923
"147"	25	"STANDING"	0.278013701621622	0.278013701621622	-0.107352957594595
"148"	25	"WALKING"	0.278992759054054	0.278992759054054	-0.108737636297297
"149"	25	"WALKING_DOWNSTAIRS"	0.291329666206897	0.291329666206897	-0.107192376965517
"150"	25	"WALKING_UPSTAIRS"	0.277995411384615	0.277995411384615	-0.126210440292308
"151"	26	"LAYING"	0.271645864540789	0.271645864540789	-0.105002540289474
"152"	26	"SITTING"	0.258243530166667	0.258243530166667	-0.0974448692333333
"153"	26	"STANDING"	0.281127035405405	0.281127035405405	-0.110237796416216
"154"	26	"WALKING"	0.279264443728814	0.279264443728814	-0.108927011474576
"155"	26	"WALKING_DOWNSTAIRS"	0.2792845828	0.2792845828	-0.1064396194
"156"	26	"WALKING_UPSTAIRS"	0.272691394545455	0.272691394545455	-0.121943461236364
"157"	27	"LAYING"	0.274102492432432	0.274102492432432	-0.107699732837838
"158"	27	"SITTING"	0.273941302571429	0.273941302571429	-0.105521912588571
"159"	27	"STANDING"	0.279566921625	0.279566921625	-0.107835818025
"160"	27	"WALKING"	0.276849485438596	0.276849485438596	-0.112822289263158
"161"	27	"WALKING_DOWNSTAIRS"	0.2975441875	0.2975441875	-0.112837694688636
"162"	27	"WALKING_UPSTAIRS"	0.265770253921569	0.265770253921569	-0.123530438196078
"163"	28	"LAYING"	0.2759134825	0.2759134825	-0.1083448529625
"164"	28	"SITTING"	0.276977629444444	0.276977629444444	-0.111517939555556
"165"	28	"STANDING"	0.277795069113924	0.277795069113924	-0.106579385202532
"166"	28	"WALKING"	0.281228223888889	0.281228223888889	-0.103714705396296
"167"	28	"WALKING_DOWNSTAIRS"	0.293642076521739	0.293642076521739	-0.10858897408913
"168"	28	"WALKING_UPSTAIRS"	0.262005841764706	0.262005841764706	-0.121514025692157
"169"	29	"LAYING"	0.287295196811594	0.287295196811594	-0.109462068173913
"170"	29	"SITTING"	0.2771799775	0.2771799775	-0.1104118192
"171"	29	"STANDING"	0.277965065846154	0.277965065846154	-0.108659067476923
"172"	29	"WALKING"	0.271999916792453	0.271999916792453	-0.106632427301887
"173"	29	"WALKING_DOWNSTAIRS"	0.293140441083333	0.293140441083333	-0.0981339984895833
"174"	29	"WALKING_UPSTAIRS"	0.265423066877551	0.265423066877551	-0.118000587840816
"175"	30	"LAYING"	0.281033900571429	0.281033900571429	-0.1036581505
"176"	30	"SITTING"	0.268336081379032	0.268336081379032	-0.0995154461338709
"177"	30	"STANDING"	0.277112699152542	0.277112699152542	-0.108756209835593
"178"	30	"WALKING"	0.276406758	0.276406758	-0.0986247068969231
"179"	30	"WALKING_DOWNSTAIRS"	0.283190646967742	0.283190646967742	-0.099978142232258
"180"	30	"WALKING_UPSTAIRS"	0.271415642261539	0.271415642261539	-0.124697493775385
